# time (s)	h_+ (strain)	h_x (strain)	h_abs (strain)	 h_arg (rad)
-1.385684967	-1.203585972978352284e-19	-2.128101035063415226e-20	1.222255020241122497e-19	3.296922240088406966e+02
-1.385623932	-1.201930178922765048e-19	-2.220396371630002905e-20	1.222267464786978208e-19	3.296845522460614575e+02
-1.385562897	-1.200203583640257258e-19	-2.312564201561729860e-20	1.222279908223302308e-19	3.296768803749084213e+02
-1.385501862	-1.198406281070712273e-19	-2.404599332723112423e-20	1.222292352106916896e-19	3.296692083755108342e+02
-1.385440826	-1.196538372562813890e-19	-2.496496311344277412e-20	1.222304796415698816e-19	3.296615362501219693e+02
-1.385379791	-1.194599963021126475e-19	-2.588249689817604944e-20	1.222317240416122981e-19	3.296538640010007271e+02
-1.385318756	-1.192591162412604067e-19	-2.679854030315258922e-20	1.222329684210694365e-19	3.296461916303986754e+02
-1.385257721	-1.190512085750196381e-19	-2.771303910301565663e-20	1.222342128845197983e-19	3.296385191401716384e+02
-1.385196686	-1.188362849810856426e-19	-2.862593928814982405e-20	1.222354573282017893e-19	3.296308465307091069e+02
-1.385135651	-1.186143577068070372e-19	-2.953718703516681881e-20	1.222367018212975333e-19	3.296231738019083650e+02
-1.385074615	-1.183854392166462050e-19	-3.044672854915776844e-20	1.222379462272838271e-19	3.296155009537873184e+02
-1.385013580	-1.181495426061676866e-19	-3.135451019701474408e-20	1.222391906376238058e-19	3.296078279862605314e+02
-1.384952545	-1.179066813751214307e-19	-3.226047843967217558e-20	1.222404351352324130e-19	3.296001548992826429e+02
-1.384891510	-1.176568692119380226e-19	-3.316457977522941572e-20	1.222416795713419603e-19	3.295924816928412611e+02
-1.384830475	-1.174001204519461524e-19	-3.406676087484179917e-20	1.222429240432145341e-19	3.295848083668882964e+02
-1.384769440	-1.171364497416129708e-19	-3.496696849473831869e-20	1.222441685471394693e-19	3.295771349213471808e+02
-1.384708404	-1.168658719778537271e-19	-3.586514944321211871e-20	1.222454129107838321e-19	3.295694613562208133e+02
-1.384647369	-1.165884029488913615e-19	-3.676125079755172531e-20	1.222466574691249308e-19	3.295617876714487124e+02
-1.384586334	-1.163040582646474961e-19	-3.765521957232335034e-20	1.222479019446403529e-19	3.295541138669796624e+02
-1.384525299	-1.160128543844959548e-19	-3.854700303797305854e-20	1.222491465231874901e-19	3.295464399427834792e+02
-1.384464264	-1.157148077672506940e-19	-3.943654845900194206e-20	1.222503909644913427e-19	3.295387658988072985e+02
-1.384403229	-1.154099357366231559e-19	-4.032380337705394677e-20	1.222516355126703202e-19	3.295310917350174691e+02
-1.384342194	-1.150982556495853281e-19	-4.120871533930878519e-20	1.222528800212636373e-19	3.295234174513768153e+02
-1.384281158	-1.147797854869345665e-19	-4.209123210453183076e-20	1.222541245786999582e-19	3.295157430478292326e+02
-1.384220123	-1.144545434370539842e-19	-4.297130149513968924e-20	1.222553690664368021e-19	3.295080685243364087e+02
-1.384159088	-1.141225482816440083e-19	-4.384887154120308211e-20	1.222566135705267172e-19	3.295003938808711723e+02
-1.384098053	-1.137838192367282200e-19	-4.472389043699662713e-20	1.222578582174451618e-19	3.294927191173637766e+02
-1.384037018	-1.134383755140854752e-19	-4.559630635832889706e-20	1.222591026991334061e-19	3.294850442337890399e+02
-1.383975983	-1.130862372570291234e-19	-4.646606784100558896e-20	1.222603472821749175e-19	3.294773692301029087e+02
-1.383914947	-1.127274246091407961e-19	-4.733312341615567021e-20	1.222615918076422939e-19	3.294696941062500741e+02
