# time (s)	h_+ (strain)	h_x (strain)
-2.928898566	-5.898026427839777658e-20	-8.499610548344497339e-21
-2.928837531	-5.891365787722689575e-20	-8.951826538432596929e-21
-2.928776496	-5.884358372366692225e-20	-9.403524035904513674e-21
-2.928715461	-5.877004574295792668e-20	-9.854676964549040835e-21
-2.928654425	-5.869304816940024112e-20	-1.030525859745500090e-20
-2.928593390	-5.861259544208617686e-20	-1.075524225901419390e-20
-2.928532355	-5.852869218366874111e-20	-1.120460141685568885e-20
-2.928471320	-5.844134321173934505e-20	-1.165330961446677950e-20
-2.928410285	-5.835055354664874052e-20	-1.210134043231355191e-20
-2.928349250	-5.825632841124039908e-20	-1.254866748932681162e-20
-2.928288214	-5.815867323055785493e-20	-1.299526444445315543e-20
-2.928227179	-5.805759363154035980e-20	-1.344110499820376664e-20
-2.928166144	-5.795309544270648882e-20	-1.388616289420076074e-20
-2.928105109	-5.784518469382610646e-20	-1.433041192072141109e-20
-2.928044074	-5.773386761570605869e-20	-1.477382591197152565e-20
-2.927983039	-5.761915064189888212e-20	-1.521637874533725179e-20
-2.927922003	-5.750104040815543061e-20	-1.565804434374193605e-20
-2.927860968	-5.737954375036854782e-20	-1.609879668092897408e-20
-2.927799933	-5.725466770412893577e-20	-1.653860978311656359e-20
-2.927738898	-5.712641950432385121e-20	-1.697745773053070850e-20
-2.927677863	-5.699480658472378897e-20	-1.741531465893507539e-20
-2.927616828	-5.685983657755786263e-20	-1.785215476115772025e-20
-2.927555793	-5.672151731307693134e-20	-1.828795228861461044e-20
-2.927494757	-5.657985681910546001e-20	-1.872268155282971306e-20
-2.927433722	-5.643486332058139055e-20	-1.915631692695188140e-20
-2.927372687	-5.628654523908461408e-20	-1.958883284726791371e-20
-2.927311652	-5.613491119235363470e-20	-2.002020381471235583e-20
-2.927250617	-5.597996999372940907e-20	-2.045040439644780501e-20
-2.927189582	-5.582173065104983856e-20	-2.087940922807862791e-20
-2.927128546	-5.566020236636476775e-20	-2.130719301481368363e-20
-2.927067511	-5.549539453578786832e-20	-2.173373053248166499e-20
-2.927006476	-5.532731674896190467e-20	-2.215899662901406754e-20
-2.926945441	-5.515597878850694291e-20	-2.258296622593043066e-20
-2.926884406	-5.498139062945713672e-20	-2.300561431981972374e-20
-2.926823371	-5.480356243868642712e-20	-2.342691598381701989e-20
-2.926762336	-5.462250457432246989e-20	-2.384684636907624848e-20
-2.926701300	-5.443822758514969366e-20	-2.426538070623804874e-20
-2.926640265	-5.425074221000073003e-20	-2.468249430689334709e-20
-2.926579230	-5.406005937713685402e-20	-2.509816256504214375e-20
-2.926518195	-5.386619020361701327e-20	-2.551236095854770116e-20
-2.926457160	-5.366914599465596978e-20	-2.592506505058572208e-20
-2.926396125	-5.346893824297096426e-20	-2.633625049108870669e-20
-2.926335089	-5.326557862814998104e-20	-2.674589301809511169e-20
-2.926274054	-5.305907901603952502e-20	-2.715396845902198076e-20
-2.926213019	-5.284945145798979556e-20	-2.756045273230610463e-20
-2.926151984	-5.263670819014214657e-20	-2.796532184887262098e-20
-2.926090949	-5.242086163272071142e-20	-2.836855191355382890e-20
-2.926029914	-5.220192438931324265e-20	-2.877011912650261390e-20
-2.925968878	-5.197990924614097987e-20	-2.916999978460024246e-20
-2.925907843	-5.175482917131776260e-20	-2.956817028285886637e-20
-2.925846808	-5.152669731409833375e-20	-2.996460711581809880e-20
-2.925785773	-5.129552700411593020e-20	-3.035928687893590884e-20
-2.925724738	-5.106133175060925663e-20	-3.075218626997372627e-20
-2.925663703	-5.082412524163863203e-20	-3.114328209037570229e-20
-2.925602668	-5.058392134329171816e-20	-3.153255124664180129e-20
-2.925541632	-5.034073409887861920e-20	-3.191997075169487406e-20
-2.925480597	-5.009457772811652135e-20	-3.230551772624174256e-20
-2.925419562	-4.984546662630487109e-20	-3.268916940012968660e-20
-2.925358527	-4.959341536352843749e-20	-3.307090311376062405e-20
-2.925297492	-4.933843868381911136e-20	-3.345069631945381462e-20
-2.925236457	-4.908055150424862371e-20	-3.382852658270142176e-20
-2.925175421	-4.881976891405774257e-20	-3.420437158349200569e-20
-2.925114386	-4.855610617377895772e-20	-3.457820911763261412e-20
-2.925053351	-4.828957871434865105e-20	-3.495001709806452942e-20
-2.924992316	-4.802020213620948084e-20	-3.531977355617169130e-20
-2.924931281	-4.774799220840252843e-20	-3.568745664308282404e-20
-2.924870246	-4.747296486764947825e-20	-3.605304463096622111e-20
-2.924809211	-4.719513621742487936e-20	-3.641651591431770486e-20
-2.924748175	-4.691452252701849437e-20	-3.677784901124135182e-20
-2.924687140	-4.663114023058770581e-20	-3.713702256472310419e-20
-2.924626105	-4.634500592620031691e-20	-3.749401534389728544e-20
-2.924565070	-4.605613637486746396e-20	-3.784880624530535200e-20
-2.924504035	-4.576454849956690497e-20	-3.820137429414775375e-20
-2.924443000	-4.547025938425662459e-20	-3.855169864552803058e-20
-2.924381964	-4.517328627288006718e-20	-3.889975858568471546e-20
-2.924320929	-4.487364656836801766e-20	-3.924553353318538690e-20
-2.924259894	-4.457135783162115673e-20	-3.958900304016785256e-20
-2.924198859	-4.426643778048200553e-20	-3.993014679357362916e-20
-2.924137824	-4.395890428870137532e-20	-4.026894461635379127e-20
-2.924076789	-4.364877538489538009e-20	-4.060537646866678540e-20
-2.924015753	-4.333606925149351777e-20	-4.093942244906822136e-20
-2.923954718	-4.302080422367729014e-20	-4.127106279569259277e-20
-2.923893683	-4.270299878831001181e-20	-4.160027788742681843e-20
-2.923832648	-4.238267158285744677e-20	-4.192704824507579704e-20
-2.923771613	-4.205984139429944137e-20	-4.225135453251949390e-20
-2.923710578	-4.173452715803281828e-20	-4.257317755786164974e-20
-2.923649543	-4.140674795676526681e-20	-4.289249827457033455e-20
-2.923588507	-4.107652301940057851e-20	-4.320929778260976840e-20
-2.923527472	-4.074387171991505367e-20	-4.352355732956378263e-20
-2.923466437	-4.040881357622550586e-20	-4.383525831175049993e-20
-2.923405402	-4.007136824904829289e-20	-4.414438227532855840e-20
-2.923344367	-3.973155554075036119e-20	-4.445091091739433193e-20
-2.923283332	-3.938939539419318228e-20	-4.475482608706772732e-20
-2.923222296	-3.904490789156857627e-20	-4.505610978656939907e-20
-2.923161261	-3.869811325322114409e-20	-4.535474417229656180e-20
-2.923100226	-3.834903183646556000e-20	-4.565071155588509847e-20
-2.923039191	-3.799768413439563059e-20	-4.594399440526240611e-20
-2.922978156	-3.764409077468555997e-20	-4.623457534569084060e-20
-2.922917121	-3.728827251838284299e-20	-4.652243716080220581e-20
-2.922856086	-3.693025025869355120e-20	-4.680756279362286001e-20
-2.922795050	-3.657004501975951175e-20	-4.708993534758938499e-20
-2.922734015	-3.620767795542766224e-20	-4.736953808755534197e-20
-2.922672980	-3.584317034801187035e-20	-4.764635444078798845e-20
-2.922611945	-3.547654360704680299e-20	-4.792036799795589509e-20
-2.922550910	-3.510781926803441677e-20	-4.819156251410698707e-20
-2.922489875	-3.473701899118271461e-20	-4.845992190963684758e-20
-2.922428839	-3.436416456013727410e-20	-4.872543027124734336e-20
-2.922367804	-3.398927788070517450e-20	-4.898807185289571698e-20
-2.922306769	-3.361238097957185791e-20	-4.924783107673369434e-20
-2.922245734	-3.323349600301229698e-20	-4.950469253403645102e-20
-2.922184699	-3.285264521560531630e-20	-4.975864098611967985e-20
-2.922123664	-3.246985099892125170e-20	-5.000966136525121185e-20
-2.922062628	-3.208513585020427710e-20	-5.025773877555177364e-20
-2.922001593	-3.169852238105360596e-20	-5.050285849388452035e-20
-2.921940558	-3.131003331609793989e-20	-5.074500597073429479e-20
-2.921879523	-3.091969149166330293e-20	-5.098416683107679370e-20
-2.921818488	-3.052751985443385813e-20	-5.122032687523758061e-20
-2.921757453	-3.013354146010638077e-20	-5.145347207974066860e-20
-2.921696418	-2.973777947203812907e-20	-5.168358859814699204e-20
-2.921635382	-2.934025715988818490e-20	-5.191066276188223738e-20
-2.921574347	-2.894099789825243289e-20	-5.213468108105453293e-20
-2.921513312	-2.854002516529232236e-20	-5.235563024526150368e-20
-2.921452277	-2.813736254135732186e-20	-5.257349712438685405e-20
-2.921391242	-2.773303370760126493e-20	-5.278826876938638201e-20
-2.921330207	-2.732706244459271935e-20	-5.299993241306334041e-20
-2.921269171	-2.691947263091913938e-20	-5.320847547083322378e-20
-2.921208136	-2.651028824178556513e-20	-5.341388554147779998e-20
-2.921147101	-2.609953334761381549e-20	-5.361615040788999370e-20
-2.921086066	-2.568723211263330621e-20	-5.381525803780767178e-20
-2.921025031	-2.527340879345251548e-20	-5.401119658453311652e-20
-2.920963996	-2.485808773763344667e-20	-5.420395438764355533e-20
-2.920902961	-2.444129338226198348e-20	-5.439351997369107381e-20
-2.920841925	-2.402305025251256955e-20	-5.457988205689144866e-20
-2.920780890	-2.360338296020770617e-20	-5.476302953980190048e-20
-2.920719855	-2.318231620237221083e-20	-5.494295151398796506e-20
-2.920658820	-2.275987475978229381e-20	-5.511963726067925451e-20
-2.920597785	-2.233608349550956420e-20	-5.529307625141386131e-20
-2.920536750	-2.191096735346020901e-20	-5.546325814867182083e-20
-2.920475714	-2.148455135690902644e-20	-5.563017280649739126e-20
-2.920414679	-2.105686060702888512e-20	-5.579381027110982620e-20
-2.920353644	-2.062792028141535640e-20	-5.595416078150315744e-20
-2.920292609	-2.019775563260680874e-20	-5.611121477003438592e-20
-2.920231574	-1.976639198659986181e-20	-5.626496286300063486e-20
-2.920170539	-1.933385474136033866e-20	-5.641539588120451849e-20
-2.920109503	-1.890016936533376659e-20	-5.656250484051423860e-20
-2.920048468	-1.846536139596700018e-20	-5.670628095243799314e-20
-2.919987433	-1.802945643819112120e-20	-5.684671562463331250e-20
-2.919926398	-1.759248016290611384e-20	-5.698380046141205032e-20
-2.919865363	-1.715445830547086347e-20	-5.711752726424847998e-20
-2.919804328	-1.671541666418928841e-20	-5.724788803227578726e-20
-2.919743293	-1.627538109879262890e-20	-5.737487496277087509e-20
-2.919682257	-1.583437752891810087e-20	-5.749848045162767282e-20
-2.919621222	-1.539243193258363164e-20	-5.761869709381854095e-20
-2.919560187	-1.494957034465933961e-20	-5.773551768384415628e-20
-2.919499152	-1.450581885533529448e-20	-5.784893521617166099e-20
-2.919438117	-1.406120360858601545e-20	-5.795894288566087096e-20
-2.919377082	-1.361575080063162609e-20	-5.806553408797880805e-20
-2.919316046	-1.316948667839584049e-20	-5.816870242000259268e-20
-2.919255011	-1.272243753796071443e-20	-5.826844168021015479e-20
-2.919193976	-1.227462972301856635e-20	-5.836474586905931706e-20
-2.919132941	-1.182608962332082732e-20	-5.845760918935486508e-20
-2.919071906	-1.137684367312389235e-20	-5.854702604660283426e-20
-2.919010871	-1.092691834962676388e-20	-5.863299104930487614e-20
-2.918949836	-1.047634017141121852e-20	-5.871549900926862200e-20
-2.918888800	-1.002513569688940374e-20	-5.879454494199217075e-20
-2.918827765	-9.573331522739955632e-21	-5.887012406697688396e-20
-2.918766730	-9.120954282341378318e-21	-5.894223180802283559e-20
-2.918705695	-8.668030644202854876e-21	-5.901086379351217647e-20
-2.918644660	-8.214587310392924752e-21	-5.907601585668053391e-20
-2.918583625	-7.760651014966187072e-21	-5.913768403587624192e-20
-2.918522589	-7.306248522387780106e-21	-5.919586457480754630e-20
-2.918461554	-6.851406625956053677e-21	-5.925055392277773667e-20
-2.918400519	-6.396152146223454055e-21	-5.930174873490807281e-20
-2.918339484	-5.940511929415589004e-21	-5.934944587234873419e-20
-2.918278449	-5.484512845848606139e-21	-5.939364240247741948e-20
-2.918217414	-5.028181788345148646e-21	-5.943433559908595710e-20
-2.918156378	-4.571545670648831948e-21	-5.947152294255475838e-20
-2.918095343	-4.114631425837196186e-21	-5.950520212001493268e-20
-2.918034308	-3.657466004733645320e-21	-5.953537102549826923e-20
-2.917973273	-3.200076374320538411e-21	-5.956202776010413096e-20
-2.917912238	-2.742489516158715080e-21	-5.958517063225746895e-20
-2.917851203	-2.284732424781842452e-21	-5.960479815771721226e-20
-2.917790168	-1.826832106098165261e-21	-5.962090905962167169e-20
-2.917729132	-1.368815575797426820e-21	-5.963350226857712060e-20
-2.917668097	-9.107098577568651998e-22	-5.964257692273437460e-20
-2.917607062	-4.525419824468878944e-22	-5.964813236785317790e-20
-2.917546027	5.661014664039147135e-24	-5.965016815735408296e-20
-2.917484992	4.638720947047213897e-22	-5.964868405235848579e-20
-2.917423957	9.220642169970054011e-22	-5.964368002171602234e-20
-2.917362921	1.380210340651753084e-21	-5.963515624201980736e-20
-2.917301886	1.838283426164959880e-21	-5.962311309760964833e-20
-2.917240851	2.296256437013931439e-21	-5.960755118056257229e-20
-2.917179816	2.754102341253358012e-21	-5.958847129067152023e-20
-2.917118781	3.211794113111359666e-21	-5.956587443541145074e-20
-2.917057746	3.669304734585130726e-21	-5.953976182989333434e-20
-2.916996711	4.126607197036420761e-21	-5.951013489680590614e-20
-2.916935675	4.583674502786519424e-21	-5.947699526634504440e-20
-2.916874640	5.040479666709078379e-21	-5.944034477611558421e-20
-2.916813605	5.496995717807509620e-21	-5.940018547088548460e-20
-2.916752570	5.953195700808897875e-21	-5.935651960254374691e-20
-2.916691535	6.409052677764832829e-21	-5.930934963008142035e-20
-2.916630500	6.864539729642944968e-21	-5.925867821946139711e-20
-2.916569464	7.319629957917352066e-21	-5.920450824347462960e-20
-2.916508429	7.774296486158141205e-21	-5.914684278158393758e-20
-2.916447394	8.228512461619508667e-21	-5.908568511975581427e-20
-2.916386359	8.682251056826802187e-21	-5.902103875027990653e-20
-2.916325324	9.135485471162024726e-21	-5.895290737157618114e-20
-2.916264289	9.588188932448015673e-21	-5.888129488799023453e-20
-2.916203253	1.004033469853105217e-20	-5.880620540957599975e-20
-2.916142218	1.049189605886172315e-20	-5.872764325186666914e-20
-2.916081183	1.094284633607423399e-20	-5.864561293563327902e-20
-2.916020148	1.139315888756367244e-20	-5.856011918663111284e-20
-2.915959113	1.184280710706150808e-20	-5.847116693533410344e-20
-2.915898078	1.229176442620909515e-20	-5.837876131665701760e-20
-2.915837043	1.274000431612878752e-20	-5.828290766966566383e-20
-2.915776007	1.318750028899330675e-20	-5.818361153727493060e-20
-2.915714972	1.363422589959237179e-20	-5.808087866593467919e-20
-2.915653937	1.408015474691249716e-20	-5.797471500538380247e-20
-2.915592902	1.452526047573463309e-20	-5.786512670847640969e-20
-2.915531867	1.496951677816226905e-20	-5.775212013063216609e-20
-2.915470832	1.541289739516972796e-20	-5.763570182942692445e-20
-2.915409796	1.585537611815611483e-20	-5.751587856421842061e-20
-2.915348761	1.629692679049643059e-20	-5.739265729576020877e-20
-2.915287726	1.673752330908951423e-20	-5.726604518580328287e-20
-2.915226691	1.717713962590326760e-20	-5.713604959668622670e-20
-2.915165656	1.761574974951651873e-20	-5.700267809091314629e-20
-2.915104621	1.805332774665768042e-20	-5.686593843072003483e-20
-2.915043586	1.848984774374022796e-20	-5.672583857762897997e-20
-2.914982550	1.892528392839465907e-20	-5.658238669199087592e-20
-2.914921515	1.935961055099700513e-20	-5.643559113251613447e-20
-2.914860480	1.979280192619369832e-20	-5.628546045579376823e-20
-2.914799445	2.022483243442289372e-20	-5.613200341579866556e-20
-2.914738410	2.065567652343190051e-20	-5.597522896338717745e-20
-2.914677375	2.108530870979078236e-20	-5.581514624578118501e-20
-2.914616339	2.151370358040205478e-20	-5.565176460604018997e-20
-2.914555304	2.194083579400630192e-20	-5.548509358252222286e-20
-2.914494269	2.236668008268376094e-20	-5.531514290833279833e-20
-2.914433234	2.279121125335150989e-20	-5.514192251076247138e-20
-2.914372199	2.321440418923623232e-20	-5.496544251065920088e-20
-2.914311164	2.363623385129413925e-20	-5.478571322167156740e-20
-2.914250128	2.405667527975210733e-20	-5.460274514982131311e-20
-2.914189093	2.447570359560898335e-20	-5.441654899295486095e-20
-2.914128058	2.489329400211035309e-20	-5.422713564012385136e-20
-2.914067023	2.530942178621908208e-20	-5.403451617095432193e-20
-2.914005988	2.572406232008044577e-20	-5.383870185500457229e-20
-2.913944953	2.613719106248285409e-20	-5.363970415111164191e-20
-2.913883918	2.654878356031332185e-20	-5.343753470672676797e-20
-2.913822882	2.695881545000769100e-20	-5.323220535723943210e-20
-2.913761847	2.736726245899619448e-20	-5.302372812529031497e-20
-2.913700812	2.777410040714314908e-20	-5.281211522007326101e-20
-2.913639777	2.817930520818180635e-20	-5.259737903662596447e-20
-2.913578742	2.858285287114345578e-20	-5.237953215510970772e-20
-2.913517707	2.898471950178111137e-20	-5.215858734007810367e-20
-2.913456671	2.938488130398767613e-20	-5.193455753973492669e-20
-2.913395636	2.978331458120827469e-20	-5.170745588518091746e-20
-2.913334601	3.017999573784697057e-20	-5.147729568964980272e-20
-2.913273566	3.057490128066748299e-20	-5.124409044773343945e-20
-2.913212531	3.096800782018807775e-20	-5.100785383459633039e-20
-2.913151496	3.135929207207045161e-20	-5.076859970517905338e-20
-2.913090461	3.174873085852386761e-20	-5.052634209342657133e-20
-2.913029425	3.213630110978810912e-20	-5.028109521163662992e-20
-2.912968390	3.252197986542902280e-20	-5.003287344949789405e-20
-2.912907355	3.290574427565896023e-20	-4.978169137317735793e-20
-2.912846320	3.328757160269366782e-20	-4.952756372447068502e-20
-2.912785285	3.366743922210369377e-20	-4.927050541994250296e-20
-2.912724250	3.404532462415823578e-20	-4.901053155005570271e-20
-2.912663214	3.442120541516296420e-20	-4.874765737829112601e-20
-2.912602179	3.479505931879086977e-20	-4.848189834025628722e-20
-2.912541144	3.516686417740617787e-20	-4.821327004278424866e-20
-2.912480109	3.553659795338165459e-20	-4.794178826302228868e-20
-2.912419074	3.590423873040852793e-20	-4.766746894751016962e-20
-2.912358039	3.626976471479968037e-20	-4.739032821124858957e-20
-2.912297003	3.663315423678555895e-20	-4.711038233675750496e-20
-2.912235968	3.699438575180277889e-20	-4.682764777312446837e-20
-2.912174933	3.735343784177565545e-20	-4.654214113504295752e-20
-2.912113898	3.771028921639003806e-20	-4.625387920184106266e-20
-2.912052863	3.806491871436009072e-20	-4.596287891650017104e-20
-2.911991828	3.841730530468713403e-20	-4.566915738466391348e-20
-2.911930793	3.876742808791121672e-20	-4.537273187363757754e-20
-2.911869757	3.911526629735483310e-20	-4.507361981137769248e-20
